"GroupID","GroupLevel","Numerator","Denominator","Metric"
"4","Site",0,35,0
"257","Site",6,183,0.0327868852459016
"384","Site",17,246,0.0691056910569106
"391","Site",8,151,0.0529801324503311
"531","Site",28,689,0.0406386066763425
"576","Site",7,184,0.0380434782608696
"1283","Site",4,76,0.0526315789473684
"1364","Site",5,110,0.0454545454545455
"1828","Site",7,149,0.0469798657718121
"1881","Site",19,306,0.0620915032679739
"1925","Site",1,67,0.0149253731343284
"1927","Site",3,183,0.0163934426229508
"2392","Site",15,280,0.0535714285714286
"4695","Site",5,200,0.025
"4712","Site",6,63,0.0952380952380952
"4897","Site",9,120,0.075
"5968","Site",15,267,0.0561797752808989
"5977","Site",2,33,0.0606060606060606
"6230","Site",4,101,0.0396039603960396
"6273","Site",3,70,0.0428571428571429
"6416","Site",12,272,0.0441176470588235
"6530","Site",16,228,0.0701754385964912
"8197","Site",4,89,0.0449438202247191
"8304","Site",12,202,0.0594059405940594
"8454","Site",1,18,0.0555555555555556
"8545","Site",1,22,0.0454545454545455
"8560","Site",18,393,0.0458015267175573
"8594","Site",30,584,0.0513698630136986
"8995","Site",6,264,0.0227272727272727
"9072","Site",6,80,0.075
"9232","Site",2,87,0.0229885057471264
"9522","Site",22,308,0.0714285714285714
"9560","Site",1,33,0.0303030303030303
"9844","Site",2,77,0.025974025974026
"10081","Site",2,13,0.153846153846154
"10119","Site",1,29,0.0344827586206897
"10325","Site",1,58,0.0172413793103448
"10497","Site",12,216,0.0555555555555556
"10608","Site",8,213,0.0375586854460094
"12432","Site",13,294,0.0442176870748299
"12937","Site",11,245,0.0448979591836735
"12946","Site",2,32,0.0625
"13057","Site",5,40,0.125
"13112","Site",3,28,0.107142857142857
"13825","Site",3,51,0.0588235294117647
"13878","Site",3,16,0.1875
"14408","Site",5,232,0.021551724137931
"14601","Site",11,328,0.0335365853658537
"14707","Site",9,173,0.0520231213872832
"14729","Site",14,240,0.0583333333333333
"16424","Site",7,263,0.026615969581749
"16470","Site",9,203,0.0443349753694581
"16980","Site",0,20,0
"16996","Site",8,339,0.023598820058997
"17010","Site",6,117,0.0512820512820513
"17187","Site",23,725,0.0317241379310345
"17208","Site",7,43,0.162790697674419
"17235","Site",8,200,0.04
"17472","Site",9,163,0.0552147239263804
"17541","Site",27,537,0.0502793296089385
"17542","Site",10,227,0.0440528634361234
"17555","Site",3,49,0.0612244897959184
"17717","Site",7,243,0.0288065843621399
"17729","Site",6,275,0.0218181818181818
"17799","Site",1,38,0.0263157894736842
"17808","Site",15,502,0.0298804780876494
"17961","Site",14,381,0.036745406824147
"18449","Site",1,47,0.0212765957446809
"18496","Site",6,66,0.0909090909090909
"18537","Site",7,150,0.0466666666666667
"18548","Site",7,153,0.0457516339869281
"18743","Site",6,125,0.048
"18777","Site",16,309,0.0517799352750809
"20531","Site",14,375,0.0373333333333333
"20757","Site",2,27,0.0740740740740741
"21380","Site",19,592,0.0320945945945946
"21655","Site",1,42,0.0238095238095238
"22022","Site",1,25,0.04
"22329","Site",1,22,0.0454545454545455
"22677","Site",25,396,0.0631313131313131
"22681","Site",0,26,0
"25127","Site",3,173,0.0173410404624277
"25160","Site",0,35,0
"25171","Site",3,55,0.0545454545454545
"25348","Site",12,216,0.0555555555555556
"25382","Site",3,32,0.09375
"25449","Site",7,180,0.0388888888888889
"25605","Site",15,452,0.0331858407079646
"25858","Site",6,136,0.0441176470588235
"26115","Site",11,236,0.0466101694915254
"26117","Site",16,271,0.0590405904059041
"26167","Site",6,18,0.333333333333333
"26213","Site",9,195,0.0461538461538462
"26499","Site",0,8,0
"26665","Site",4,66,0.0606060606060606
"26725","Site",1,64,0.015625
"26772","Site",5,123,0.040650406504065
"26880","Site",19,406,0.0467980295566502
"26885","Site",0,48,0
"28689","Site",19,407,0.0466830466830467
"29013","Site",9,151,0.0596026490066225
"29289","Site",2,29,0.0689655172413793
"29476","Site",0,19,0
"29813","Site",4,53,0.0754716981132075
"29972","Site",4,120,0.0333333333333333
"29987","Site",2,10,0.2
"30089","Site",0,20,0
"30233","Site",2,91,0.021978021978022
"30336","Site",7,237,0.029535864978903
"30729","Site",4,146,0.0273972602739726
"30741","Site",3,123,0.024390243902439
"30851","Site",0,46,0
"30984","Site",0,44,0
"31107","Site",12,288,0.0416666666666667
"32913","Site",10,208,0.0480769230769231
"32920","Site",1,22,0.0454545454545455
"33348","Site",2,31,0.0645161290322581
"33396","Site",3,40,0.075
"33539","Site",7,227,0.0308370044052863
"33575","Site",0,23,0
"33617","Site",19,363,0.0523415977961433
"33620","Site",8,204,0.0392156862745098
"33671","Site",4,37,0.108108108108108
"34067","Site",8,105,0.0761904761904762
"34071","Site",14,428,0.0327102803738318
"34341","Site",19,460,0.041304347826087
"34353","Site",7,116,0.0603448275862069
"34355","Site",16,582,0.0274914089347079
"34643","Site",5,85,0.0588235294117647
"34660","Site",8,154,0.051948051948052
"34694","Site",13,382,0.0340314136125654
"34696","Site",11,400,0.0275
"34713","Site",22,477,0.0461215932914046
"35155","Site",8,121,0.0661157024793388
"37186","Site",36,855,0.0421052631578947
"37702","Site",19,422,0.0450236966824645
"37728","Site",25,523,0.0478011472275335
"37892","Site",1,14,0.0714285714285714
"37938","Site",3,66,0.0454545454545455
"38248","Site",3,82,0.0365853658536585
"38249","Site",3,80,0.0375
"38272","Site",13,403,0.032258064516129
"38711","Site",14,404,0.0346534653465347
"39000","Site",9,291,0.0309278350515464
"39025","Site",9,185,0.0486486486486487
